State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area
2,29,147,Bharwain,4044,17847,80.61058515312476,221.0,HIMACHAL PRADESH,Una,50.16710885199721,100.0,100.0,100.0
2,29,148,Amb,36710,168793,508.5407933574193,332.0,HIMACHAL PRADESH,Una,72.18693265025642,95.491519198071,95.39362571506402,98.251860988121
2,29,149,Bangana,15570,73035,417.22171543439765,175.0,HIMACHAL PRADESH,Una,37.31828767299186,100.0,100.0,100.0
2,29,150,Una,39901,190082,335.7102245797901,566.0,HIMACHAL PRADESH,Una,118.85548034750579,80.37531170757883,79.60201498709306,96.54463905157498
2,29,151,Haroli,14107,71416,197.91260251209144,361.0,HIMACHAL PRADESH,Una,71.2789373740772,100.0,100.0,100.0
2,30,152,Ghumarwin,19593,89516,192.2906042772552,466.0,HIMACHAL PRADESH,Bilaspur,101.89265395281473,91.17587917243844,90.83346092992394,98.38785674856466
2,30,153,Bharari,10174,45713,95.20557077659326,480.0,HIMACHAL PRADESH,Bilaspur,106.863494614974,100.0,100.0,100.0
2,30,154,Jhanduta,19425,91562,329.3065179482941,278.0,HIMACHAL PRADESH,Bilaspur,58.98759648313432,97.40940564863153,97.50836550836551,99.12239817844912
2,30,155,Naina Devi,9147,46684,269.0712781851097,174.0,HIMACHAL PRADESH,Bilaspur,33.99470973526669,97.42095792991175,97.08101016726796,99.65808316435502
2,30,156,Bilaspur Sadar,15873,75714,180.2743671889473,420.0,HIMACHAL PRADESH,Bilaspur,88.04912338626242,81.96634704281904,79.67617967617969,94.10897945969819
2,30,157,Namhol,6273,32767,100.8644995250186,325.0,HIMACHAL PRADESH,Bilaspur,62.19234745168229,100.0,100.0,100.0
2,31,158,Arki,11284,56908,230.19395564347604,247.0,HIMACHAL PRADESH,Solan,49.019532109160316,94.65804456315456,93.72562920950017,99.37009640589967
2,31,159,Darlaghat,6958,36763,157.2176835054615,234.0,HIMACHAL PRADESH,Solan,44.257108010106826,100.0,100.0,100.0
2,31,160,Ramshahr,6341,32594,188.7889055140904,173.0,HIMACHAL PRADESH,Solan,33.58777880899752,100.0,100.0,100.0
