State_code,District_code,Subdistrict_code,Subdistrict,Subdistrict_name,T/r/u,Number_of_villages_habitated,Unhabitated,Number of towns,Number of households,population,Area,population density
1,14,55,SUB-DISTRICT,Anantnag,Urban,0,0,4,22731,185233,45.71,4052.0
1,14,56,SUB-DISTRICT,Shangus,Total,25,0,1,12400,74103,59.09,1254.0
1,14,56,SUB-DISTRICT,Shangus,Rural,25,0,0,11192,66228,57.09,1160.0
1,14,56,SUB-DISTRICT,Shangus,Urban,0,0,1,1208,7875,2.0,3938.0
1,14,57,SUB-DISTRICT,Kokernag,Total,51,0,1,27343,173712,126.01,1379.0
1,14,57,SUB-DISTRICT,Kokernag,Rural,51,0,0,26443,167159,123.01,1359.0
1,14,57,SUB-DISTRICT,Kokernag,Urban,0,0,1,900,6553,3.0,2184.0
1,14,58,SUB-DISTRICT,Dooru,Total,61,1,2,25444,199429,130.69,1526.0
1,14,58,SUB-DISTRICT,Dooru,Rural,61,1,0,20948,166590,116.19,1434.0
1,14,58,SUB-DISTRICT,Dooru,Urban,0,0,2,4496,32839,14.5,2265.0
1,15,0,DISTRICT,Kulgam,Total,226,5,7,73728,424483,410.0,1035.0
1,15,0,DISTRICT,Kulgam,Rural,226,5,0,59922,343870,360.2,955.0
1,15,0,DISTRICT,Kulgam,Urban,0,0,7,13806,80613,49.8,1619.0
1,15,59,SUB-DISTRICT,Kulgam,Total,161,2,6,49700,285773,265.36,1077.0
1,15,59,SUB-DISTRICT,Kulgam,Rural,161,2,0,37288,214925,215.99,995.0
1,15,59,SUB-DISTRICT,Kulgam,Urban,0,0,6,12412,70848,49.37,1435.0
1,15,60,SUB-DISTRICT, Devsar,Total,15,1,1,4924,31893,20.37,1566.0
1,15,60,SUB-DISTRICT, Devsar,Rural,15,1,0,3530,22128,19.94,1110.0
1,15,60,SUB-DISTRICT, Devsar,Urban,0,0,1,1394,9765,0.43,22709.0
1,15,61,SUB-DISTRICT,Damhal Hanjipora,Total,50,2,0,19104,106817,124.64,857.0
1,15,61,SUB-DISTRICT,Damhal Hanjipora,Rural,50,2,0,19104,106817,124.64,857.0
1,15,61,SUB-DISTRICT,Damhal Hanjipora,Urban,0,0,0,0,0,0.0,0.0
1,16,0,DISTRICT,Doda,Total,402,4,2,79636,409936,8912.0,46.0
1,16,0,DISTRICT,Doda,Rural,402,4,0,72917,377247,8892.25,42.0
1,16,0,DISTRICT,Doda,Urban,0,0,2,6719,32689,19.75,1655.0
1,16,62,SUB-DISTRICT,Doda,Total,126,1,1,41297,202716,1023.61,198.0
1,16,62,SUB-DISTRICT,Doda,Rural,126,1,0,36700,181111,1009.36,179.0
1,16,62,SUB-DISTRICT,Doda,Urban,0,0,1,4597,21605,14.25,1516.0
1,16,63,SUB-DISTRICT,Thathri,Total,92,1,0,11129,59955,123.54,485.0
1,16,63,SUB-DISTRICT,Thathri,Rural,92,1,0,11129,59955,123.54,485.0
1,16,63,SUB-DISTRICT,Thathri,Urban,0,0,0,0,0,0.0,0.0
1,16,64,SUB-DISTRICT,Gandoh,Total,66,1,0,13216,71889,105.08,684.0
1,16,64,SUB-DISTRICT,Gandoh,Rural,66,1,0,13216,71889,105.08,684.0
1,16,64,SUB-DISTRICT,Gandoh,Urban,0,0,0,0,0,0.0,0.0
1,16,65,SUB-DISTRICT,Bhaderwah,Total,118,1,1,13994,75376,112.17,672.0
1,16,65,SUB-DISTRICT,Bhaderwah,Rural,118,1,0,11872,64292,106.67,603.0
1,16,65,SUB-DISTRICT,Bhaderwah,Urban,0,0,1,2122,11084,5.5,2015.0
1,17,0,DISTRICT,Ramban,Total,127,2,3,55490,283713,1329.0,213.0
1,17,0,DISTRICT,Ramban,Rural,127,2,0,53328,271902,1313.92,207.0
1,17,0,DISTRICT,Ramban,Urban,0,0,3,2162,11811,15.08,783.0
1,17,66,SUB-DISTRICT,Banihal,Total,33,1,1,25018,125045,563.08,222.0
1,17,66,SUB-DISTRICT,Banihal,Rural,33,1,0,24373,121145,559.01,217.0
1,17,66,SUB-DISTRICT,Banihal,Urban,0,0,1,645,3900,4.07,958.0
1,17,67,SUB-DISTRICT,Ramban,Total,94,1,2,30472,158668,765.96,207.0
1,17,67,SUB-DISTRICT,Ramban,Rural,94,1,0,28955,150757,754.95,200.0
1,17,67,SUB-DISTRICT,Ramban,Urban,0,0,2,1517,7911,11.01,719.0
1,18,0,DISTRICT,Kishtwar,Total,155,2,1,45209,230696,1644.0,140.0
1,18,0,DISTRICT,Kishtwar,Rural,155,2,0,42499,215831,1643.37,131.0
1,18,0,DISTRICT,Kishtwar,Urban,0,0,1,2710,14865,0.63,23595.0
1,18,68,SUB-DISTRICT,Kishtwar,Total,82,2,1,24115,129489,780.3,166.0
1,18,68,SUB-DISTRICT,Kishtwar,Rural,82,2,0,21405,114624,779.67,147.0
1,18,68,SUB-DISTRICT,Kishtwar,Urban,0,0,1,2710,14865,0.63,23595.0
1,18,69,SUB-DISTRICT,Marwah,Total,27,0,0,7106,35572,307.35,116.0
1,18,69,SUB-DISTRICT,Marwah,Rural,27,0,0,7106,35572,307.35,116.0
1,18,69,SUB-DISTRICT,Marwah,Urban,0,0,0,0,0,0.0,0.0
1,18,70,SUB-DISTRICT,Chhatroo,Total,14,0,0,9729,44087,308.52,143.0
1,18,70,SUB-DISTRICT,Chhatroo,Rural,14,0,0,9729,44087,308.52,143.0
1,18,70,SUB-DISTRICT,Chhatroo,Urban,0,0,0,0,0,0.0,0.0
1,18,71,SUB-DISTRICT,Atholi (Paddar),Total,32,0,0,4259,21548,248.11,87.0
1,18,71,SUB-DISTRICT,Atholi (Paddar),Rural,32,0,0,4259,21548,248.11,87.0
1,18,71,SUB-DISTRICT,Atholi (Paddar),Urban,0,0,0,0,0,0.0,0.0
1,19,0,DISTRICT,Udhampur,Total,325,6,6,99240,554985,2637.0,210.0
1,19,0,DISTRICT,Udhampur,Rural,325,6,0,78887,446777,2593.28,172.0
1,19,0,DISTRICT,Udhampur,Urban,0,0,6,20353,108208,43.72,2475.0
1,19,72,SUB-DISTRICT,Udhampur,Total,149,3,3,50555,275559,808.71,341.0
1,19,72,SUB-DISTRICT,Udhampur,Rural,149,3,0,32338,177828,771.39,231.0
1,19,72,SUB-DISTRICT,Udhampur,Urban,0,0,3,18217,97731,37.32,2619.0
1,19,73,SUB-DISTRICT,Chenani,Total,46,1,2,11125,64753,312.12,207.0
1,19,73,SUB-DISTRICT,Chenani,Rural,46,1,0,10319,60568,310.33,195.0
1,19,73,SUB-DISTRICT,Chenani,Urban,0,0,2,806,4185,1.79,2338.0
1,19,74,SUB-DISTRICT,Ramnagar,Total,88,2,1,28317,167010,1025.65,163.0
1,19,74,SUB-DISTRICT,Ramnagar,Rural,88,2,0,26987,160718,1020.94,157.0
1,19,74,SUB-DISTRICT,Ramnagar,Urban,0,0,1,1330,6292,4.71,1336.0
1,19,75,SUB-DISTRICT,Majalta,Total,42,0,0,9243,47663,235.35,203.0
1,19,75,SUB-DISTRICT,Majalta,Rural,42,0,0,9243,47663,235.35,203.0
1,19,75,SUB-DISTRICT,Majalta,Urban,0,0,0,0,0,0.0,0.0
1,20,0,DISTRICT,Reasi,Total,253,2,5,56689,314667,1719.0,183.0
1,20,0,DISTRICT,Reasi,Rural,253,2,0,51659,287671,1679.99,171.0
1,20,0,DISTRICT,Reasi,Urban,0,0,5,5030,26996,39.01,692.0
1,20,76,SUB-DISTRICT,Gool-Gulabgarh,Total,61,0,0,25782,147843,857.26,172.0
1,20,76,SUB-DISTRICT,Gool-Gulabgarh,Rural,61,0,0,25782,147843,857.26,172.0
1,20,76,SUB-DISTRICT,Gool-Gulabgarh,Urban,0,0,0,0,0,0.0,0.0
1,20,77,SUB-DISTRICT,Reasi,Total,192,2,5,30907,166824,861.53,194.0
