operator,city_name,deployment_type,status,lat,long
Reliance Jio,Sikar,5G NR,Commercial Availability,27.6094,75.13991
Reliance Jio,Sri Ganganagar,5G NR,Commercial Availability,29.90384,73.87719
Reliance Jio,Bhilwara,5G NR,Commercial Availability,25.32138,74.58695
Reliance Jio,Mandi Gobindgarh,5G NR,Commercial Availability,30.66374,76.30004
Reliance Jio,Khanna,5G NR,Commercial Availability,30.69785,76.21123
Reliance Jio,Bathinda,5G NR,Commercial Availability,30.21099,74.94547
Reliance Jio,Parbhani,5G NR,Commercial Availability,19.261,76.77667
Reliance Jio,Akola,5G NR,Commercial Availability,20.70593,77.0219
Reliance Jio,Sagar,5G NR,Commercial Availability,23.838656,78.737815
Reliance Jio,Rewa,5G NR,Commercial Availability,24.53528,81.303633
Reliance Jio,Ratlam,5G NR,Commercial Availability,23.33417,75.03763
Reliance Jio,Chhindwara,5G NR,Commercial Availability,22.05744,78.93817
Reliance Jio,Shimla,5G NR,Commercial Availability,31.10481,77.1734
Reliance Jio,Nadauna,5G NR,Commercial Availability,25.30709,84.94794
Reliance Jio,Hamirpur,5G NR,Commercial Availability,31.68617,76.52131
Reliance Jio,Savar Kundla,5G NR,Commercial Availability,21.3377,71.30524
Reliance Jio,Ankleshwar,5G NR,Commercial Availability,21.62642,73.0152
Airtel,Kohima,5G NR,Commercial Availability,25.6586,94.10533
Airtel,Aizawl,5G NR,Commercial Availability,23.72711,92.71764
Airtel,Gangtok,5G NR,Commercial Availability,27.33894,88.6065
Airtel,Silchar,5G NR,Commercial Availability,24.83327,92.77891
Airtel,Dibrugarh,5G NR,Commercial Availability,27.47283,94.91196
Airtel,Tinsukia,5G NR,Commercial Availability,27.49219,95.34678
Airtel,Ajmer,5G NR,Commercial Availability,26.4499,74.63992
Airtel,Alwar,5G NR,Commercial Availability,27.55299,76.63457
Airtel,Bargarh,5G NR,Commercial Availability,21.33323,83.61889
Airtel,Barh,5G NR,Commercial Availability,25.47759,85.70909
Airtel,Begusarai,5G NR,Commercial Availability,25.41668,86.12938
Reliance Jio,Bhagalpur,5G NR,Commercial Availability,25.24143,86.99244
Airtel,Bhawanipatna,5G NR,Commercial Availability,19.90743,83.16416
Airtel,Bhilwara,5G NR,Commercial Availability,25.32138,74.58695
Airtel,Bihar Sharif,5G NR,Commercial Availability,25.19821,85.51487
Airtel,Bihta,5G NR,Commercial Availability,25.56332,84.86981
Airtel,Bikaner,5G NR,Commercial Availability,28.02293,73.31192
Reliance Jio,Bokaro Steel City,5G NR,Commercial Availability,23.6693,86.15111
Reliance Jio,Bongaigaon,5G NR,Commercial Availability,26.501,90.53524
Reliance Jio,Chandrapur,5G NR,Commercial Availability,19.97046,79.30148
Reliance Jio,Deoghar,5G NR,Commercial Availability,24.47632,86.69132
Airtel,Dhenkanal,5G NR,Commercial Availability,20.65035,85.59722
Reliance Jio,Diu,5G NR,Commercial Availability,20.71441,70.98737
Reliance Jio,Faizabad,5G NR,Commercial Availability,26.77325,82.14416
Reliance Jio,Firozabad,5G NR,Commercial Availability,27.1591,78.39576
Reliance Jio,Gandhidham,5G NR,Commercial Availability,23.0753,70.13367
Airtel,Gopalganj,5G NR,Commercial Availability,23.01301,89.82241
Airtel,Haridwar,5G NR,Commercial Availability,29.94569,78.16425
Reliance Jio,Hazaribagh,5G NR,Commercial Availability,23.99662,85.36911
Reliance Jio,Ichalkaranji,5G NR,Commercial Availability,16.709,74.45608
Airtel,Jharsuguda,5G NR,Commercial Availability,21.85544,84.00617
Airtel,Jodhpur,5G NR,Commercial Availability,26.2967719,73.0351433
Airtel,Katihar,5G NR,Commercial Availability,25.55205,87.57186
