sdtname,dtname,stname,number_of_cell_towers
Haveri,Haveri,KARNATAKA,1
Hayathnagar,Ranga Reddy,TELANGANA,203
Hazaribag,Hazaribagh,JHARKHAND,1
Heggadadevankote,Mysuru,KARNATAKA,2
Hilli,Dakshin Dinajpur,WEST BENGAL,1
Himatnagar,Sabar Kantha,GUJARAT,1
Himayathnagar,Hyderabad,TELANGANA,378
Hindupur,Anantapur,ANDHRA PRADESH,3
Hinganghat,Wardha,MAHARASHTRA,41
Hingna,Nagpur,MAHARASHTRA,5
Hingoli,Hingoli,MAHARASHTRA,69
Hiranagar,Kathua,JAMMU & KASHMIR,1
Hiriyur,Chitradurga,KARNATAKA,25
Hisar,Hisar,HARYANA,12
Hodal,Palwal,HARYANA,1
Holalkere,Chitradurga,KARNATAKA,3
Hole Narsipur,Hassan,KARNATAKA,2
Homnabad,Bidar,KARNATAKA,6
Honnali,Davanagere,KARNATAKA,2
Hosakote,Bengaluru Rural,KARNATAKA,132
Hosdurg,Kasaragod,KERALA,23
Hosdurga,Chitradurga,KARNATAKA,1
Hoshangabad,Hoshangabad,MADHYA PRADESH,5
Hoshiarpur,Hoshiarpur,PUNJAB,95
Hospet,Ballari,KARNATAKA,412
Hosur,Krishnagiri,TAMILNADU,259
Hubli,Dharwad,KARNATAKA,133
Hukeri,Belagavi,KARNATAKA,4
Hunsur,Mysuru,KARNATAKA,28
Huzur,Bhopal,MADHYA PRADESH,163
Huzurabad,Karimnagar,TELANGANA,2
Ibrahimpatnam,Krishna,ANDHRA PRADESH,37
Ibrahimpatnam,Ranga Reddy,TELANGANA,4
Igatpuri,Nashik,MAHARASHTRA,81
Iglas,Aligarh,UTTAR PRADESH,1
Iluppur,Pudukkottai,TAMILNADU,18
Indapur,Pune,MAHARASHTRA,4
Indora,Kangra,HIMACHAL PRADESH,3
Indore,Indore,MADHYA PRADESH,61
Irala,Chittoor,ANDHRA PRADESH,12
Islampur,Uttar Dinajpur,WEST BENGAL,9
Israna,Panipat,HARYANA,21
Itanagar,Papum Pare,ARUNACHAL PRADESH,6
Itarsi,Hoshangabad,MADHYA PRADESH,34
Itikyal,Jogulamba Gadwal,TELANGANA,9
Itki,Ranchi,JHARKHAND,1
JONK,Nuapada,ODISHA,1
Jabalpur,Jabalpur,MADHYA PRADESH,45
Jadcherla,Mahbubnagar,TELANGANA,54
Jagadhri,Yamunanagar,HARYANA,100
Jagdevpur,Medak,TELANGANA,47
Jagdishpur,Bhagalpur,BIHAR,2
Jaggayyapeta,Krishna,ANDHRA PRADESH,20
Jagraon,Ludhiana,PUNJAB,22
Jagtial,Jagitial,TELANGANA,3
Jahazpur,Bhilwara,RAJASTHAN,1
Jaipur,Jaipur,RAJASTHAN,541
Jaisalmer,Jaisalmer,RAJASTHAN,11
Jaitu,Faridkot,PUNJAB,1
Jajapur Road,Jajapur,ODISHA,3
Jakhama,Kohima,NAGALAND,1
Jakhapura,Jajapur,ODISHA,10
Jalalabad,Fazilka,PUNJAB,5
Jalalpore,Navsari,GUJARAT,75
Jalandhar - I,Jalandhar,PUNJAB,108
Jalandhar - II,Jalandhar,PUNJAB,17
Jalgaon,Jalgaon,MAHARASHTRA,13
Jalna,Jalna,MAHARASHTRA,117
Jalpaiguri,Jalpaiguri,WEST BENGAL,2
Jamalpur,Munger,BIHAR,8
Jamalpur,Purba Bardhaman,WEST BENGAL,2
Jammalamadugu,Y.S.R.,ANDHRA PRADESH,5
Jammikunta,Karimnagar,TELANGANA,30
Jammu,Jammu,JAMMU & KASHMIR,25
Jangaon,Jangoan,TELANGANA,44
Jaoli,Satara,MAHARASHTRA,6
Jaora,Ratlam,MADHYA PRADESH,1
Jaspur,Udham Singh Nagar,UTTARAKHAND,7
Jaswantnagar,Etawah,UTTAR PRADESH,38
